,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Butaritari,3.0707,172.7902,81.23,77,44,8.99,KI,2021-02-13 16:49:38
1,Hithadhoo,-0.6,73.0833,82.94,74,82,12.3,MV,2021-02-13 16:49:40
2,Wladyslawowo,54.7909,18.4009,30.0,68,0,14.97,PL,2021-02-13 16:49:41
3,Khatanga,71.9667,102.5,-29.67,85,82,9.33,RU,2021-02-13 16:49:42
4,Cockburn Town,21.4612,-71.1419,78.21,77,0,19.53,TC,2021-02-13 16:49:43
5,Namatanai,-3.6667,152.4333,79.63,82,100,5.88,PG,2021-02-13 16:49:44
6,Bubaque,11.2833,-15.8333,79.2,70,0,13.94,GW,2021-02-13 16:49:45
7,Merritt Island,28.5392,-80.672,80.01,94,90,17.27,US,2021-02-13 16:49:46
8,Jumla,29.2747,82.1838,39.06,71,13,3.58,NP,2021-02-13 16:49:48
9,Rikitea,-23.1203,-134.9692,79.41,76,1,13.82,PF,2021-02-13 16:49:49
10,Okha,53.5739,142.9478,13.35,97,96,4.09,RU,2021-02-13 16:49:50
11,Dingle,10.9995,122.6711,75.69,91,100,5.08,PH,2021-02-13 16:49:51
12,Hobart,-42.8794,147.3294,54.0,87,18,6.91,AU,2021-02-13 16:49:52
13,Hermanus,-34.4187,19.2345,75.99,75,0,5.01,ZA,2021-02-13 16:49:53
14,Chuy,-33.6971,-53.4616,77.41,76,88,8.16,UY,2021-02-13 16:49:54
15,Fare,-16.7,-151.0167,80.91,76,20,9.33,PF,2021-02-13 16:49:55
16,Touros,-5.1989,-35.4608,87.8,62,40,18.41,BR,2021-02-13 16:49:57
17,Andra,62.5147,65.8878,-13.29,88,94,4.09,RU,2021-02-13 16:49:58
18,Mataura,-46.1927,168.8643,57.0,75,100,2.01,NZ,2021-02-13 16:49:59
19,Geraldton,-28.7667,114.6,73.4,88,40,3.44,AU,2021-02-13 16:50:00
20,Longyearbyen,78.2186,15.6401,6.8,66,75,14.97,SJ,2021-02-13 16:50:01
21,Upernavik,72.7868,-56.1549,0.19,90,76,8.86,GL,2021-02-13 16:50:02
22,Punta Arenas,-53.15,-70.9167,46.4,87,90,6.91,CL,2021-02-13 16:50:03
23,Vaini,-21.2,-175.2,80.33,82,20,15.23,TO,2021-02-13 16:50:05
25,Ferkessedougou,9.6,-5.2,101.26,8,0,5.17,CI,2021-02-13 16:50:07
26,Verkhnyaya Inta,65.9811,60.3094,-26.14,86,8,1.72,RU,2021-02-13 16:50:08
27,Bluff,-46.6,168.3333,57.0,75,100,5.57,NZ,2021-02-13 16:50:09
28,Inirida,3.8653,-67.9239,79.74,82,99,1.1,CO,2021-02-13 16:50:10
29,Floro,61.5996,5.0328,32.0,47,0,10.36,NO,2021-02-13 16:50:11
30,Port Hedland,-20.3167,118.5667,77.0,83,0,6.91,AU,2021-02-13 16:50:12
31,Kanashevo,55.2169,62.0634,30.2,74,0,11.18,RU,2021-02-13 16:50:14
32,Torbay,47.6666,-52.7314,28.99,68,90,21.85,CA,2021-02-13 16:50:15
33,Puerto Ayora,-0.7393,-90.3518,84.2,70,75,12.66,EC,2021-02-13 16:50:16
34,Port Macquarie,-31.4333,152.9167,69.01,92,100,3.0,AU,2021-02-13 16:50:17
35,Zaragoza,41.6561,-0.8773,60.01,62,75,16.11,ES,2021-02-13 16:46:07
